Title,"RSI: Alcoholic Drinks, Beverages & Tobacco (val nsa) All Business Index"
CDID,CY45
Source dataset ID,DRSI
PreUnit,
Unit,
Release date,17/02/2023
Next release,24/Mar/23
Important notes,
1988 JAN,119.8
1988 FEB,125.3
1988 MAR,131.4
1988 APR,134.9
1988 MAY,136.8
1988 JUN,136.9
1988 JUL,139.6
1988 AUG,144.3
1988 SEP,134.6
1988 OCT,137.8
1988 NOV,141.5
1988 DEC,190.9
1989 JAN,125.4
1989 FEB,134.8
1989 MAR,139.6
1989 APR,140.6
1989 MAY,149.1
1989 JUN,146.3
1989 JUL,153.8
1989 AUG,153.1
1989 SEP,145.3
1989 OCT,146.4
1989 NOV,151.4
1989 DEC,205.2
1990 JAN,137.2
1990 FEB,149
1990 MAR,150.7
1990 APR,158.2
1990 MAY,164.4
1990 JUN,159.3
1990 JUL,169.3
1990 AUG,168.8
1990 SEP,158.3
1990 OCT,160.5
1990 NOV,162.8
1990 DEC,215.5
1991 JAN,142.6
1991 FEB,155.6
1991 MAR,153.9
1991 APR,159.9
1991 MAY,161.4
1991 JUN,163.5
1991 JUL,173
1991 AUG,174.1
1991 SEP,166.3
1991 OCT,163.6
1991 NOV,164.2
1991 DEC,211.5
1992 JAN,152.1
1992 FEB,165.6
1992 MAR,161.6
1992 APR,169
1992 MAY,171.4
1992 JUN,174.3
1992 JUL,172.4
1992 AUG,169.8
1992 SEP,165.6
1992 OCT,166.9
1992 NOV,174.6
1992 DEC,205
1993 JAN,154.9
1993 FEB,163.3
1993 MAR,165.6
1993 APR,172.5
1993 MAY,171
1993 JUN,173.6
1993 JUL,175.3
1993 AUG,174.3
1993 SEP,167.6
1993 OCT,169.7
1993 NOV,174.1
1993 DEC,198.8
1994 JAN,154.8
1994 FEB,163.4
1994 MAR,165.5
1994 APR,171
1994 MAY,174.1
1994 JUN,175.1
1994 JUL,181.5
1994 AUG,173.3
1994 SEP,164.2
1994 OCT,169
1994 NOV,174
1994 DEC,202.2
1995 JAN,146.5
1995 FEB,163.9
1995 MAR,162
1995 APR,172.6
1995 MAY,179.5
1995 JUN,176.5
1995 JUL,183.2
1995 AUG,184.2
1995 SEP,171.5
1995 OCT,176.1
1995 NOV,178.7
1995 DEC,208
1996 JAN,156
1996 FEB,167.8
1996 MAR,170.8
1996 APR,177.2
1996 MAY,176.4
1996 JUN,181.6
1996 JUL,182
1996 AUG,177.5
1996 SEP,173
1996 OCT,176.4
1996 NOV,178.4
1996 DEC,203.3
1997 JAN,164.6
1997 FEB,171
1997 MAR,176.5
1997 APR,183.3
1997 MAY,182.4
1997 JUN,181.7
1997 JUL,184.7
1997 AUG,184.2
1997 SEP,176.3
1997 OCT,178.8
1997 NOV,184.7
1997 DEC,212.9
1998 JAN,165.4
1998 FEB,175.4
1998 MAR,175.9
1998 APR,185.2
1998 MAY,190.2
1998 JUN,189.4
1998 JUL,187.6
1998 AUG,189.5
1998 SEP,180.7
1998 OCT,179.2
1998 NOV,185.8
1998 DEC,211.6
1999 JAN,167.6
1999 FEB,181.1
1999 MAR,184.6
1999 APR,188.6
1999 MAY,194.9
1999 JUN,197.3
1999 JUL,194.9
1999 AUG,190.9
1999 SEP,193.5
1999 OCT,192.1
1999 NOV,196.6
1999 DEC,226.2
2000 JAN,175.3
2000 FEB,183.7
2000 MAR,174.7
2000 APR,182.6
2000 MAY,183.9
2000 JUN,178.3
2000 JUL,182.5
2000 AUG,184.2
2000 SEP,174.5
2000 OCT,184.8
2000 NOV,190.6
2000 DEC,221
2001 JAN,153.8
2001 FEB,171.3
2001 MAR,169.8
2001 APR,179.9
2001 MAY,189.1
2001 JUN,186.2
2001 JUL,189.1
2001 AUG,189.2
2001 SEP,174.7
2001 OCT,181.8
2001 NOV,182
2001 DEC,203.4
2002 JAN,160.7
2002 FEB,169.3
2002 MAR,170.6
2002 APR,176.2
2002 MAY,177.2
2002 JUN,173
2002 JUL,177.3
2002 AUG,174.5
2002 SEP,167.7
2002 OCT,165.7
2002 NOV,172.3
2002 DEC,195.8
2003 JAN,144.7
2003 FEB,155
2003 MAR,154.8
2003 APR,164.3
2003 MAY,163.1
2003 JUN,163
2003 JUL,164
2003 AUG,153.2
2003 SEP,148.3
2003 OCT,155.5
2003 NOV,157.8
2003 DEC,179.2
2004 JAN,130.4
2004 FEB,139.4
2004 MAR,144.3
2004 APR,152.6
2004 MAY,151.5
2004 JUN,152.5
2004 JUL,152.4
2004 AUG,158.7
2004 SEP,147.8
2004 OCT,148.6
2004 NOV,154.9
2004 DEC,175.4
2005 JAN,119.9
2005 FEB,129.6
2005 MAR,135.1
2005 APR,146.2
2005 MAY,146.7
2005 JUN,152.5
2005 JUL,145.2
2005 AUG,142.5
2005 SEP,137.5
2005 OCT,139.8
2005 NOV,147
2005 DEC,159.9
2006 JAN,116.2
2006 FEB,128
2006 MAR,124.7
2006 APR,135
2006 MAY,135.2
2006 JUN,143.3
2006 JUL,148.5
2006 AUG,141.7
2006 SEP,135.1
2006 OCT,141.2
2006 NOV,141
2006 DEC,168.1
2007 JAN,115
2007 FEB,121.2
2007 MAR,129.3
2007 APR,138.2
2007 MAY,138.8
2007 JUN,136.1
2007 JUL,131.5
2007 AUG,130.5
2007 SEP,122.9
2007 OCT,122.5
2007 NOV,130.9
2007 DEC,152.1
2008 JAN,117.5
2008 FEB,123.7
2008 MAR,123.7
2008 APR,137.7
2008 MAY,145.8
2008 JUN,141.7
2008 JUL,143.5
2008 AUG,133.7
2008 SEP,133.4
2008 OCT,135.7
2008 NOV,139.7
2008 DEC,150.9
2009 JAN,96.6
2009 FEB,118.4
2009 MAR,115.1
2009 APR,121.3
2009 MAY,124.8
2009 JUN,128.5
2009 JUL,124.9
2009 AUG,123.2
2009 SEP,115.7
2009 OCT,116.2
2009 NOV,121
2009 DEC,139.3
2010 JAN,98.2
2010 FEB,97.9
2010 MAR,100
2010 APR,100.4
2010 MAY,103.8
2010 JUN,101.7
2010 JUL,98.3
2010 AUG,90
2010 SEP,76.8
2010 OCT,78.7
2010 NOV,94.9
2010 DEC,100
2011 JAN,75
2011 FEB,88.3
2011 MAR,88.6
2011 APR,98.6
2011 MAY,94.6
2011 JUN,104.6
2011 JUL,103
2011 AUG,98.4
2011 SEP,99.8
2011 OCT,107.7
2011 NOV,109.8
2011 DEC,129.5
2012 JAN,81.3
2012 FEB,86.6
2012 MAR,82.9
2012 APR,86.7
2012 MAY,93.9
2012 JUN,90.5
2012 JUL,94.8
2012 AUG,93
2012 SEP,82
2012 OCT,67.1
2012 NOV,81.7
2012 DEC,92.3
2013 JAN,71.7
2013 FEB,76.7
2013 MAR,78.4
2013 APR,81.2
2013 MAY,84.2
2013 JUN,82.4
2013 JUL,83.6
2013 AUG,77.9
2013 SEP,79.5
2013 OCT,79.5
2013 NOV,91.7
2013 DEC,106.8
2014 JAN,64.8
2014 FEB,72.4
2014 MAR,75.1
2014 APR,95.3
2014 MAY,81.7
2014 JUN,80.4
2014 JUL,82
2014 AUG,77.8
2014 SEP,82.1
2014 OCT,85.2
2014 NOV,97.1
2014 DEC,128.1
2015 JAN,71.2
2015 FEB,81
2015 MAR,81.8
2015 APR,90.9
2015 MAY,98.1
2015 JUN,98.6
2015 JUL,96
2015 AUG,92.7
2015 SEP,97.4
2015 OCT,93.7
2015 NOV,107.2
2015 DEC,130.8
2016 JAN,72
2016 FEB,99.4
2016 MAR,101.3
2016 APR,107.7
2016 MAY,113.2
2016 JUN,119
2016 JUL,111.7
2016 AUG,109.4
2016 SEP,100.5
2016 OCT,104.2
2016 NOV,115.1
2016 DEC,133.4
2017 JAN,75.9
2017 FEB,89.4
2017 MAR,88.1
2017 APR,92.8
2017 MAY,98.1
2017 JUN,109.3
2017 JUL,86.2
2017 AUG,81.8
2017 SEP,85.9
2017 OCT,90.4
2017 NOV,100.2
2017 DEC,119.5
2018 JAN,67.3
2018 FEB,78
2018 MAR,89.3
2018 APR,86.9
2018 MAY,100.7
2018 JUN,96.2
2018 JUL,84.8
2018 AUG,88
2018 SEP,78
2018 OCT,81.2
2018 NOV,87.4
2018 DEC,96.1
2019 JAN,65.1
2019 FEB,71.3
2019 MAR,87.8
2019 APR,73.1
2019 MAY,96.8
2019 JUN,107.5
2019 JUL,105
2019 AUG,104
2019 SEP,97.6
2019 OCT,108.4
2019 NOV,109
2019 DEC,160.8
2020 JAN,76
2020 FEB,84.1
2020 MAR,112.6
2020 APR,108.3
2020 MAY,107.7
2020 JUN,105
2020 JUL,98.1
2020 AUG,97.1
2020 SEP,84.9
2020 OCT,95.1
2020 NOV,111.6
2020 DEC,129.2
2021 JAN,86.5
2021 FEB,114.4
2021 MAR,125.6
2021 APR,127.3
2021 MAY,131.4
2021 JUN,146
2021 JUL,148.7
2021 AUG,137.8
2021 SEP,125.2
2021 OCT,139.3
2021 NOV,165.6
2021 DEC,195
2022 JAN,102.1
2022 FEB,100.2
2022 MAR,99.3
2022 APR,110.7
2022 MAY,113.5
2022 JUN,119.7
2022 JUL,94.1
2022 AUG,94.1
2022 SEP,88.6
2022 OCT,105.6
2022 NOV,127.9
2022 DEC,162.8
2023 JAN,80.3